dbkey,label
AveSolarRadiation,日射量(10年平均)
SumOfNitrogenDistributionAmountOfLeafBlade,葉身窒素蓄積量
SumOfNitrogenDistributionAmountOfEndosperm,胚乳窒素蓄積量
Protein,タンパク質
RiceScreeningsRate,くず米率
WeightGrossBrownRice,粗玄米重量
WeightBrownRice,精玄米重量
NitrogenTranslocationChoropalstBreakup,葉緑体破壊窒素転流量
SenseRedAbsorptionRate,赤色光吸収率(センシング)
SenseEffectiveSunRayReceivingAreaRate,有効受光面積率(センシング)
IdealRedAbsorptionRate,赤色光吸収率(理想)
IdealEffectiveSunRayReceivingAreaRate,有効受光面積率(理想)
SoilOxygenConcentration,土壌中酸素濃度
WaterDepth,水深
eWDPmm,水深
WaterTemperature,水温
SoilTemperature,地温
eTMPW,水温[K]
eTMPS,地温[K]
SensorWaterTemperature,水温(センシング)
SensorWaterDepth,水深(センシング)
SensorSoilTemperature,地温(センシング)
