NO,農場,圃場名,農場ID,圃場ID
27,佐藤農場,七番江84,bb96bc36-ae8a-449f-b315-103f609a831a,7bf9b7b8-5e41-4510-bf22-0cd4be307c5e
28,佐藤農場,七番江120/121,bb96bc36-ae8a-449f-b315-103f609a831a,4de64ec9-4588-4ec1-8287-2692bf9ff372
29,佐藤農場,七番江125,bb96bc36-ae8a-449f-b315-103f609a831a,451e8e68-392a-436f-bbbd-7e1fcb6bdc65
30,佐藤農場,八幡江26,bb96bc36-ae8a-449f-b315-103f609a831a,2b63b3db-f521-4e3b-96fc-e8d01619ecfe
31,佐藤農場,八幡江29,bb96bc36-ae8a-449f-b315-103f609a831a,8c0e15d6-0d06-4fcf-8a18-414d5e8edb06
32,佐藤農場,八幡江40,bb96bc36-ae8a-449f-b315-103f609a831a,860b36fc-2cd6-4474-8c52-1f7b898779de
33,佐藤農場,八幡江55,bb96bc36-ae8a-449f-b315-103f609a831a,96d9b7e6-dde6-4f7a-bab7-7ecc56e6e41b
34,佐藤農場,大崎72-1/72-2,bb96bc36-ae8a-449f-b315-103f609a831a,21d3b67c-d651-4862-939e-af6e4430ac0d
35,佐藤農場,待井下24,bb96bc36-ae8a-449f-b315-103f609a831a,0f3a4a8b-f18b-4ce5-a61d-bbbba0ff21c0
36,佐藤農場,待井下42,bb96bc36-ae8a-449f-b315-103f609a831a,ba212e93-cc7a-423c-9440-c1001ead6aa3
37,佐藤農場,待井下43,bb96bc36-ae8a-449f-b315-103f609a831a,c34bbff7-e7cd-49e9-b733-682e7c9bc857
38,佐藤農場,下沼田452/453,bb96bc36-ae8a-449f-b315-103f609a831a,c9ff0f05-0766-4a92-9570-ad471f46b313
39,佐藤農場,下沼田478,bb96bc36-ae8a-449f-b315-103f609a831a,b0608c73-d969-4cdb-9a8e-4a67bc06109e
40,佐藤農場,昭和388-1/388-2,bb96bc36-ae8a-449f-b315-103f609a831a,8a1b34f9-a12b-4e21-b3a8-65e0df9d4161
41,佐藤農場,下沼田162,bb96bc36-ae8a-449f-b315-103f609a831a,f34a9be5-1da5-44ac-b9c2-4c854d5d89c4
42,佐藤農場,北待井下15～22,bb96bc36-ae8a-449f-b315-103f609a831a,634bb48f-115a-4a72-8b23-321bd7400bf4
43,佐藤農場,01-大沢1,bb96bc36-ae8a-449f-b315-103f609a831a,2225c5a5-ec39-4452-bd92-b7d916479f6d
44,佐藤農場,02-大沢2,bb96bc36-ae8a-449f-b315-103f609a831a,1142aa8d-0b6f-43bd-aeee-5956eb9bb9e0
45,佐藤農場,03-大沢3,bb96bc36-ae8a-449f-b315-103f609a831a,743f8650-d740-4ded-9786-8920be38018e
46,佐藤農場,04-大沢4,bb96bc36-ae8a-449f-b315-103f609a831a,68e67b01-3f8e-4443-8df6-04edb117a3c2
47,佐藤農場,05-大沢5,bb96bc36-ae8a-449f-b315-103f609a831a,a33f7e77-02bb-4c76-b1a9-0a897ae65eba
48,佐藤農場,上沼田395,bb96bc36-ae8a-449f-b315-103f609a831a,65a597e4-ecc2-4ef2-ae89-954e3d5cda26
49,佐藤農場,上沼田396,bb96bc36-ae8a-449f-b315-103f609a831a,1e229fe5-f899-4d9a-97b3-14c414d549d6
50,佐藤農場,上沼田405,bb96bc36-ae8a-449f-b315-103f609a831a,e61bba37-efdb-4d9c-9157-cab87008b38d
51,武山農場,小谷地276,07dd7a02-67ee-4cff-b63e-cad968b77770,3a2066ad-f2dc-4d93-b604-05a951173e5d
52,武山農場,小谷地277,07dd7a02-67ee-4cff-b63e-cad968b77770,2bdb165d-c932-47ab-822a-7a740ca8321e
53,武山農場,福沢251,07dd7a02-67ee-4cff-b63e-cad968b77770,995d48e6-9bd1-471b-9be5-9a7ff0417318
54,武山農場,福沢250,07dd7a02-67ee-4cff-b63e-cad968b77770,3bf245a2-6e5e-444d-a6b0-f271772a092a
55,武山農場,福沢249,07dd7a02-67ee-4cff-b63e-cad968b77770,c0e67c67-5e19-415b-8615-91c0bd5d7ffe
56,JAみやぎ登米,新大口前88～89,86e3d885-40a1-430e-94ba-4cccb5199485,424d5160-c49d-4651-bb95-0cf6c9611040
57,JAみやぎ登米,新大口前87,86e3d885-40a1-430e-94ba-4cccb5199485,4f48e271-ef76-49e3-b740-9261284ee1a1
58,JAみやぎ登米,桑代前45,86e3d885-40a1-430e-94ba-4cccb5199485,b790fe5f-b730-4e3b-9822-9947701710da
59,JAみやぎ登米,桑代前44,86e3d885-40a1-430e-94ba-4cccb5199485,9b2f7c0d-94b9-4f62-903c-bda61a67c1a2
60,JAみやぎ登米,桑代前43,86e3d885-40a1-430e-94ba-4cccb5199485,d6f20be6-a683-409f-ba16-4da9ceb967b7
61,JAみやぎ登米,桑代前41,86e3d885-40a1-430e-94ba-4cccb5199485,5299160f-0559-4f29-932a-805bde4a6d54
62,JAみやぎ登米,桑代前40,86e3d885-40a1-430e-94ba-4cccb5199485,731c88c1-4e38-4ae9-a78c-7e0b4a990ed2
63,JAみやぎ登米,中田西35,86e3d885-40a1-430e-94ba-4cccb5199485,bfbb7734-9ec2-4079-9640-09ff120116fe
64,JAみやぎ登米,中田西34-3,86e3d885-40a1-430e-94ba-4cccb5199485,12dd4bec-dbe9-48e0-aa89-da463616ef6f
65,JAみやぎ登米,"中田西34-1,34-2",86e3d885-40a1-430e-94ba-4cccb5199485,cb868cd9-5870-445f-b8b0-c7742bdcada2
66,JAみやぎ登米,中田西33,86e3d885-40a1-430e-94ba-4cccb5199485,994e6ab9-e5b1-4f71-bd2a-9b0616b1e898
67,JAみやぎ登米,"中田西32-2,32-3",86e3d885-40a1-430e-94ba-4cccb5199485,1a01880c-50de-4fec-9ca0-54edaa0c6641
68,ときなみF,福沢263,771ca4a5-4145-4d7a-b7f3-42da4642d222,ed2412fc-d16b-4410-a847-a2a59744c5fe
69,たいら,平潟808/809/810,2372a61c-3c40-4f8e-a9a7-73c903afc835,58dd0673-67fb-4bc4-96ce-d33c0adafd32
70,たいら,平潟811/812,2372a61c-3c40-4f8e-a9a7-73c903afc835,71dd794e-0d85-47b4-a907-a076e78b4675
71,たいら,平潟813,2372a61c-3c40-4f8e-a9a7-73c903afc835,ed38f217-746b-4929-8382-d2e2286f19f4
72,たいら,平潟814,2372a61c-3c40-4f8e-a9a7-73c903afc835,b296c473-cc2e-420c-b203-dfe669ec2b71
73,たいら,平潟815,2372a61c-3c40-4f8e-a9a7-73c903afc835,8f5a2dc1-3ef6-4d10-befe-b983ce424254
74,おっとちGS,新手作54.55,366e061e-0ca6-4f07-baee-f59fffdbe78c,baeb362c-ae8e-472d-9072-b455521e465a
75,おっとちGS,新上谷地64,366e061e-0ca6-4f07-baee-f59fffdbe78c,2ea5d9d3-b4f7-4185-817b-3a2cc2638870
76,JAいわて平泉,F2209　夏川ファーム様　金色の風,66b963b8-4d3e-4daa-9157-495bce0644ac,a478a24d-d80b-4169-bea5-0b616d1960f6
77,JAいわて平泉,F2246　夏川ファーム様　ひとめぼれ,66b963b8-4d3e-4daa-9157-495bce0644ac,9c107f67-4d3c-46fe-b392-7ec677ba4f6d
78,JAいわて平泉,F1126　夏川ファーム様　ひとめぼれ,66b963b8-4d3e-4daa-9157-495bce0644ac,6dd18753-e5fa-4f27-b0ab-4ce169c5e939
79,JAいわて平泉,F3218  夏川ファーム様　ひとめぼれ,66b963b8-4d3e-4daa-9157-495bce0644ac,a4ac1a59-31a1-4318-994f-bb1d3c30e2ba
80,JAいわて平泉,有水地東　金色の風,66b963b8-4d3e-4daa-9157-495bce0644ac,e21cb1d5-d3c7-4436-bed4-254abc6c858b
81,JAいわて平泉,有水地東　ひとめぼれ,66b963b8-4d3e-4daa-9157-495bce0644ac,4b194da7-5f32-42ed-992c-5817e9d22978
82,JAいわて平泉,有水地西　金色の風,66b963b8-4d3e-4daa-9157-495bce0644ac,5dbbec34-8a63-47ad-85d3-3fc3ed2e66f6
83,JAいわて平泉,有水地西　ひとめぼれ　2,66b963b8-4d3e-4daa-9157-495bce0644ac,cbfb716e-7482-4631-bf88-6d114f79fac8
84,JA夢みなみ,後田　こしひかり　1,f2786a61-69e7-4396-a618-ad751d8814a6,685c3046-adae-403a-b7d3-905a5693406e
85,JA夢みなみ,後田　こしひかり　2,f2786a61-69e7-4396-a618-ad751d8814a6,7b6f3201-3d0e-4866-83bb-9681add1c062
86,JA夢みなみ,後田　ひとめぼれ　1,f2786a61-69e7-4396-a618-ad751d8814a6,164222ff-245a-480d-9a91-b821620ec809
87,JA夢みなみ,後田　ひとめぼれ　2,f2786a61-69e7-4396-a618-ad751d8814a6,904bf394-2d14-43b4-a10b-936d6c03f76e
88,JA夢みなみ,佐々木峰男1,f2786a61-69e7-4396-a618-ad751d8814a6,535b6d1e-dcc6-4d22-b96e-f8f3e926c894
89,JA夢みなみ,佐々木峰男2,f2786a61-69e7-4396-a618-ad751d8814a6,55a07b9f-af75-4d52-8462-2f2a176b8817
90,JA夢みなみ,佐々木峰男3,f2786a61-69e7-4396-a618-ad751d8814a6,1ad32a37-4461-40fb-a1e3-0b64f7c774b2
91,JA夢みなみ,泉崎4,f2786a61-69e7-4396-a618-ad751d8814a6,c0000dfe-0bfb-484a-a6ae-239a42fea222
92,JA夢みなみ,泉崎5,f2786a61-69e7-4396-a618-ad751d8814a6,2b6ebfce-5a59-4b59-9578-253a9e367882
93,JA夢みなみ,9-圃場（名前変更予定）,f2786a61-69e7-4396-a618-ad751d8814a6,4c3f90d0-1aab-4fc3-9367-42237c47ad6b
94,JA夢みなみ,10-圃場（名前変更予定）,f2786a61-69e7-4396-a618-ad751d8814a6,bce3ba33-937e-4ef8-8a0e-0e18a2ce09f3
95,青森県_住友商事,長利まっしぐら,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,ec5224b4-8ecd-4cd9-9593-2e3a1200025c
96,青森県_住友商事,山谷まっしぐら,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,774c3153-4d0b-49b8-b71b-d66614619496
97,青森県_住友商事,山谷まっしぐら2,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,f0db08f6-95dc-45eb-9aea-68f3cdd2f305
98,青森県_住友商事,大坂まっしぐら,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,277daa39-2c86-44f9-9007-5f80d4bfb2bd
99,青森県_住友商事,大坂まっしぐら2,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,42798b89-5391-405a-98cb-9ef575837350
100,青森県_住友商事,山内つがるロマン,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,b3ea24f4-42dc-4466-b2e0-b26fd172f634
101,青森県_住友商事,山内つがるロマン2,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,4d1a9e48-62cb-4d9b-a567-c7b389f10171
102,青森県_住友商事,山内まっしぐら,213bcd1a-31f9-4c29-87f0-19e1ebb74ecd,85602c7f-e7cc-4808-9ea5-c95fd61bb7f0
